generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty	avg_mlp_loss	min_mlp_loss	max_mlp_loss
0	10.56	3.05	5	16	0.280	0.0	0.5	1.2102	0.5736	1.3809
1	12.64	2.51	7	16	0.200	0.0	0.5	1.1814	0.5736	1.3756
2	13.24	2.84	5	16	0.140	0.0	0.5	1.1655	0.4102	1.3809
3	13.38	3.09	4	16	0.120	0.0	0.5	1.1589	0.5329	1.3809
4	13.82	3.02	4	16	0.150	0.0	1.5	1.1287	0.4102	1.3809
5	13.60	3.30	4	16	0.190	0.0	1.0	1.1049	0.4102	1.3707
6	14.22	2.40	7	16	0.100	0.0	0.5	1.1065	0.4102	1.3787
7	14.72	2.11	5	16	0.160	0.0	1.0	1.0793	0.4102	1.3707
8	15.10	1.45	10	16	0.060	0.0	1.0	1.1154	0.6230	1.3707
9	14.40	2.47	6	16	0.140	0.0	1.5	1.1219	0.2745	1.3750
10	14.22	2.59	4	16	0.130	0.0	0.5	1.1146	0.4101	1.3809
11	14.52	2.21	5	16	0.090	0.0	0.5	1.1136	0.5575	1.3750
12	14.50	2.17	7	16	0.110	0.0	1.0	1.1026	0.4232	1.3707
13	13.60	2.99	6	16	0.180	0.0	1.0	1.0971	0.5070	1.3707
14	14.12	2.81	6	16	0.110	0.0	0.5	1.1085	0.6135	1.3707
15	14.18	2.32	7	16	0.050	0.0	0.5	1.1435	0.6991	1.3588
16	14.58	2.25	7	16	0.120	0.0	1.0	1.0482	0.4102	1.3588
17	14.26	2.29	9	16	0.090	0.0	1.0	1.1041	0.5200	1.3588
18	14.16	2.77	7	16	0.110	0.0	0.5	1.0900	0.4152	1.3707
19	13.94	2.77	6	16	0.150	0.0	1.0	1.0738	0.5838	1.3588
20	14.14	2.81	5	16	0.090	0.0	0.5	1.0815	0.6832	1.3809
21	14.62	2.41	7	16	0.080	0.0	0.5	1.0844	0.5575	1.3809
22	14.54	2.33	5	16	0.100	0.0	1.0	1.0381	0.3104	1.3404
23	14.12	2.85	7	16	0.060	0.0	0.5	1.1003	0.6230	1.3707
24	14.50	2.33	7	16	0.090	0.0	1.0	1.0304	0.4464	1.3588
25	14.18	2.74	6	16	0.140	0.0	1.0	1.0024	0.4152	1.3588
26	14.38	2.44	6	16	0.080	0.0	0.5	1.0591	0.3662	1.3809
27	14.30	2.41	7	16	0.120	0.0	1.0	1.0296	0.4898	1.3588
28	14.94	1.78	10	16	0.140	0.0	1.0	0.9692	0.5575	1.3588
29	14.14	2.70	4	16	0.130	0.0	0.5	0.9476	0.4732	1.3588
30	14.72	1.86	10	16	0.190	0.0	1.0	0.9319	0.3438	1.3707
31	14.16	2.68	6	16	0.100	0.0	1.0	0.9528	0.4453	1.3523
32	14.26	2.46	6	17	0.190	0.0	1.0	0.9481	0.3954	1.3076
33	14.38	2.12	7	17	0.130	0.0	1.0	0.9963	0.6808	1.3809
34	14.74	1.82	9	17	0.170	0.0	1.0	0.9703	0.5056	1.3673
35	14.42	2.33	7	17	0.120	0.0	0.5	0.9924	0.3954	1.3707
36	14.36	2.46	7	17	0.100	0.0	1.0	1.0331	0.6881	1.3707
37	14.52	2.00	9	17	0.110	0.0	1.0	1.0527	0.3024	1.3523
38	14.36	3.12	3	17	0.140	0.0	0.5	1.0739	0.7295	1.3523
39	14.34	2.40	7	17	0.160	0.0	1.0	1.1544	0.4865	1.3588
40	14.98	2.49	6	17	0.110	0.0	0.5	1.1308	0.7815	1.3756
41	15.16	1.99	8	17	0.150	0.0	0.5	1.1499	1.0149	1.3588
42	14.34	3.11	6	17	0.100	0.0	0.5	1.1813	1.0227	1.3707
43	13.90	2.71	8	17	0.130	0.0	0.5	1.1640	0.6450	1.3809
44	14.76	2.42	6	17	0.110	0.0	0.5	1.1646	1.0246	1.3809
45	14.22	2.91	6	17	0.160	0.0	1.0	1.1083	0.3907	1.3707
46	14.70	2.50	8	17	0.150	0.0	0.5	1.1580	0.9708	1.3523
47	14.84	2.69	5	17	0.170	0.0	1.0	1.1118	0.3907	1.3787
48	14.48	2.90	6	17	0.130	0.0	0.5	1.1376	0.6914	1.3707
49	14.36	2.54	7	17	0.070	0.0	0.5	1.1494	0.8147	1.3707
50	14.40	3.04	6	17	0.120	0.0	0.5	1.1340	0.3907	1.3707
