rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition
1	G5 & ~G1	4	2	0.0	G1, G5	2	33
2	~G2 & ~G8	4	2	0.0	G2, G8	2	33
3	~G6 & ~G8	4	2	0.0	G6, G8	2	33
4	~G6 & ~G8	4	2	0.0	G6, G8	2	33
5	~G8	4	1	0.5	G8	1	33
6	~G6 & ~G8	4	2	0.0	G6, G8	2	33
7	~G3 & ~G6	4	2	0.0	G3, G6	2	33
8	G5 & (G10 | ~G2)	4	3	0.0	G10, G2, G5	3	33
9	~G3 & ~G6	4	2	0.0	G3, G6	2	33
10	~G3 & ~G6	4	2	0.0	G3, G6	2	33
11	~G2 & ~G8	4	2	0.0	G2, G8	2	33
12	~G3 & ~G6	4	2	0.0	G3, G6	2	33
13	~G8 & ~G9	4	2	0.0	G8, G9	2	33
14	~G3	4	1	0.5	G3	1	33
15	~G8	4	1	0.5	G8	1	33
16	~G3	4	1	0.5	G3	1	33
17	~G8	4	1	0.5	G8	1	33
18	~G3	4	1	0.5	G3	1	33
19	~G3	4	1	0.5	G3	1	33
20	G10 & ~G6	3	2	0.0	G10, G6	2	33
21	G10 & G6 & ~G8	3	3	0.0	G10, G6, G8	3	33
22	G6 | ~G8	3	2	0.0	G6, G8	2	33
23	G1 | (~G3 & ~G8)	3	3	0.0	G1, G3, G8	3	33
24	G6 | ~G8	3	2	0.0	G6, G8	2	33
25	~G6 & ~G9	3	2	0.0	G6, G9	2	33
26	G2 & G5	2	2	0.0	G2, G5	2	33
27	G6	2	1	0.5	G6	1	33
28	G6 & G8	2	2	0.0	G6, G8	2	33
29	~G9	2	1	0.5	G9	1	33
30	G1	2	1	0.5	G1	1	33
31	~G1	2	1	0.5	G1	1	33
32	~G1	2	1	0.5	G1	1	33
33	~G4 & ~G6	1	2	0.0	G4, G6	2	33
34	G6 | G7	1	2	0.0	G6, G7	2	33
35	G3 & ~G9	1	2	0.0	G3, G9	2	33
36	True	1	1	0.5	True	1	33
37	~G4	1	1	0.5	G4	1	33
38	~G4	1	1	0.5	G4	1	33
39	~G4	1	1	0.5	G4	1	33
40	G6 | G8	0	2	0.0	G6, G8	2	33
41	G6 | G8	0	2	0.0	G6, G8	2	33
42	G2 | G3	0	2	0.0	G2, G3	2	33
43	G3 | G6	0	2	0.0	G3, G6	2	33
44	G6 | ~G4	0	2	0.0	G4, G6	2	33
45	G10 | G2 | G3	0	3	0.0	G10, G2, G3	3	33
46	G8	0	1	0.5	G8	1	33
47	G8	0	1	0.5	G8	1	33
48	G8	0	1	0.5	G8	1	33
49	G8	0	1	0.5	G8	1	33
50	G8	0	1	0.5	G8	1	33
