generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty
0	2.58	0.87	0	4	0.380	0.0	1.0
1	2.60	1.10	0	4	0.250	0.0	1.0
2	3.06	0.83	1	4	0.200	0.0	0.5
3	3.08	1.04	0	4	0.190	0.0	1.0
4	2.84	1.16	0	4	0.170	0.0	1.0
5	2.64	1.26	0	4	0.130	0.0	0.5
6	3.04	1.00	1	4	0.110	0.0	0.5
7	3.28	0.98	0	4	0.130	0.0	0.5
8	3.18	0.84	1	4	0.090	0.0	0.5
9	2.92	1.13	0	4	0.140	0.0	0.5
10	3.12	1.01	0	4	0.140	0.0	0.5
11	2.80	1.18	0	4	0.150	0.0	0.5
12	3.04	0.96	1	4	0.150	0.0	1.0
13	3.04	1.06	0	4	0.150	0.0	0.5
14	3.12	1.11	0	4	0.150	0.0	0.5
15	2.84	1.03	0	4	0.210	0.0	1.0
16	2.84	1.05	1	4	0.110	0.0	0.5
17	3.18	0.91	1	4	0.160	0.0	1.0
18	3.22	0.86	1	4	0.110	0.0	1.0
19	3.28	0.72	1	4	0.130	0.0	0.5
20	2.66	1.26	0	4	0.170	0.0	0.5
21	3.06	0.97	1	4	0.150	0.0	0.5
22	3.02	0.99	1	4	0.180	0.0	1.0
23	3.20	0.92	1	4	0.140	0.0	1.0
24	2.98	0.99	1	4	0.150	0.0	0.5
25	3.12	0.89	0	4	0.110	0.0	0.5
26	2.90	1.04	0	4	0.230	0.0	1.0
27	2.98	1.03	1	4	0.100	0.0	0.5
28	2.98	0.99	0	4	0.130	0.0	0.5
29	3.20	0.87	1	4	0.110	0.0	0.5
30	3.04	1.06	0	4	0.130	0.0	0.5
31	2.92	1.09	0	4	0.160	0.0	1.0
32	2.96	1.00	0	4	0.220	0.0	1.0
33	3.00	1.06	0	4	0.160	0.0	1.0
34	2.98	1.03	1	4	0.090	0.0	0.5
35	2.68	1.35	0	4	0.170	0.0	1.0
36	3.04	0.98	0	4	0.160	0.0	0.5
37	2.88	1.03	1	4	0.150	0.0	0.5
38	3.06	0.99	0	4	0.170	0.0	1.0
39	3.02	1.01	1	4	0.160	0.0	1.0
40	3.20	0.85	1	4	0.140	0.0	1.0
41	3.06	0.88	0	4	0.180	0.0	1.0
42	3.02	0.97	0	4	0.140	0.0	0.5
43	3.04	0.92	0	4	0.150	0.0	0.5
44	2.86	1.18	0	4	0.160	0.0	0.5
45	2.88	1.19	0	4	0.150	0.0	1.0
46	2.92	1.09	0	4	0.160	0.0	1.0
47	3.08	0.98	0	4	0.080	0.0	1.0
48	3.14	1.02	0	4	0.070	0.0	0.5
49	2.98	1.07	0	4	0.120	0.0	0.5
50	3.04	1.08	0	4	0.150	0.0	0.5
