Metric_Sampling	Statistic	Value
F1-Score | 5tp	TOST Delta (small)	±0.0181
F1-Score | 5tp	TOST p-value (medium: 0.5σ)	0.9999
F1-Score | 5tp	TOST Equivalent (medium)	No
F1-Score | 5tp	TOST Delta (medium)	±0.0452
F1-Score | 5tp	TOST p-value (large: 0.8σ)	1.0000
F1-Score | 5tp	TOST Equivalent (large)	No
F1-Score | 5tp	TOST Delta (large)	±0.0723
F1-Score | 5tp	Show in Plot	No
F1-Score | 5tp	---	---
Coverage Ratio | 21tp	Sample Size (BoolNet)	25
Coverage Ratio | 21tp	Sample Size (BNI3)	25
Coverage Ratio | 21tp	BoolNet Mean ± SD	2.1692 ± 0.4203
Coverage Ratio | 21tp	BoolNet Median	2.0625
Coverage Ratio | 21tp	BNI3 Mean ± SD	1.7867 ± 0.2538
Coverage Ratio | 21tp	BNI3 Median	1.7333
Coverage Ratio | 21tp	Difference (Mean)	-0.3825
Coverage Ratio | 21tp	Difference (Median)	-0.3292
Coverage Ratio | 21tp	Percent Change	-17.6%
Coverage Ratio | 21tp	95% CI Difference	[-0.5811, -0.1840]
Coverage Ratio | 21tp	Cohen's d	-1.1018
Coverage Ratio | 21tp	Cohen's d Interpretation	large
Coverage Ratio | 21tp	Wilcoxon Statistic	3.32
Coverage Ratio | 21tp	Wilcoxon p-value	0.0009
Coverage Ratio | 21tp	Wilcoxon Significance	***
Coverage Ratio | 21tp	TOST p-value (small: 0.2σ)	1.0000
Coverage Ratio | 21tp	TOST Equivalent (small)	No
Coverage Ratio | 21tp	TOST Delta (small)	±0.0694
Coverage Ratio | 21tp	TOST p-value (medium: 0.5σ)	1.0000
Coverage Ratio | 21tp	TOST Equivalent (medium)	No
Coverage Ratio | 21tp	TOST Delta (medium)	±0.1736
Coverage Ratio | 21tp	TOST p-value (large: 0.8σ)	1.0000
Coverage Ratio | 21tp	TOST Equivalent (large)	No
Coverage Ratio | 21tp	TOST Delta (large)	±0.2777
Coverage Ratio | 21tp	Show in Plot	No (by design)
Coverage Ratio | 21tp	---	---
Coverage Ratio | 5tp	Sample Size (BoolNet)	25
Coverage Ratio | 5tp	Sample Size (BNI3)	25
Coverage Ratio | 5tp	BoolNet Mean ± SD	0.6476 ± 0.1818
Coverage Ratio | 5tp	BoolNet Median	0.6667
Coverage Ratio | 5tp	BNI3 Mean ± SD	1.7098 ± 0.2342
Coverage Ratio | 5tp	BNI3 Median	1.6667
Coverage Ratio | 5tp	Difference (Mean)	1.0622
Coverage Ratio | 5tp	Difference (Median)	1.0000
Coverage Ratio | 5tp	Percent Change	164.0%
Coverage Ratio | 5tp	95% CI Difference	[0.9428, 1.1816]
Coverage Ratio | 5tp	Cohen's d	5.0677
Coverage Ratio | 5tp	Cohen's d Interpretation	large
Coverage Ratio | 5tp	Wilcoxon Statistic	-6.06
Coverage Ratio | 5tp	Wilcoxon p-value	0.0000
Coverage Ratio | 5tp	Wilcoxon Significance	***
Coverage Ratio | 5tp	TOST p-value (small: 0.2σ)	1.0000
Coverage Ratio | 5tp	TOST Equivalent (small)	No
Coverage Ratio | 5tp	TOST Delta (small)	±0.0419
Coverage Ratio | 5tp	TOST p-value (medium: 0.5σ)	1.0000
Coverage Ratio | 5tp	TOST Equivalent (medium)	No
Coverage Ratio | 5tp	TOST Delta (medium)	±0.1048
Coverage Ratio | 5tp	TOST p-value (large: 0.8σ)	1.0000
Coverage Ratio | 5tp	TOST Equivalent (large)	No
Coverage Ratio | 5tp	TOST Delta (large)	±0.1677
Coverage Ratio | 5tp	Show in Plot	No (by design)
Coverage Ratio | 5tp	---	---
