Metric_Sampling	Statistic	Value
MCC | 21tp	Cohen's d	0.1709
MCC | 21tp	Cohen's d Interpretation	trivial
MCC | 21tp	Wilcoxon Statistic	-0.83
MCC | 21tp	Wilcoxon p-value	0.4041
MCC | 21tp	Wilcoxon Significance	ns
MCC | 21tp	TOST p-value (small: 0.2σ)	0.9020
MCC | 21tp	TOST Equivalent (small)	No
MCC | 21tp	TOST Delta (small)	±0.0246
MCC | 21tp	TOST p-value (medium: 0.5σ)	0.9891
MCC | 21tp	TOST Equivalent (medium)	No
MCC | 21tp	TOST Delta (medium)	±0.0614
MCC | 21tp	TOST p-value (large: 0.8σ)	0.9994
MCC | 21tp	TOST Equivalent (large)	No
MCC | 21tp	TOST Delta (large)	±0.0982
MCC | 21tp	---	---
MCC | 5tp	Sample Size (BoolNet)	25
MCC | 5tp	Sample Size (BNI3)	25
MCC | 5tp	BoolNet Mean ± SD	0.0149 ± 0.1001
MCC | 5tp	BoolNet Median	0.0141
MCC | 5tp	BNI3 Mean ± SD	-0.0028 ± 0.1150
MCC | 5tp	BNI3 Median	-0.0334
MCC | 5tp	Difference (Mean)	-0.0177
MCC | 5tp	Difference (Median)	-0.0475
MCC | 5tp	Percent Change	-118.5%
MCC | 5tp	95% CI Difference	[-0.0790, 0.0437]
MCC | 5tp	Cohen's d	-0.1639
MCC | 5tp	Cohen's d Interpretation	trivial
MCC | 5tp	Wilcoxon Statistic	0.77
MCC | 5tp	Wilcoxon p-value	0.4434
MCC | 5tp	Wilcoxon Significance	ns
MCC | 5tp	TOST p-value (small: 0.2σ)	0.8977
MCC | 5tp	TOST Equivalent (small)	No
MCC | 5tp	TOST Delta (small)	±0.0216
MCC | 5tp	TOST p-value (medium: 0.5σ)	0.9884
MCC | 5tp	TOST Equivalent (medium)	No
MCC | 5tp	TOST Delta (medium)	±0.0539
MCC | 5tp	TOST p-value (large: 0.8σ)	0.9993
MCC | 5tp	TOST Equivalent (large)	No
MCC | 5tp	TOST Delta (large)	±0.0863
MCC | 5tp	---	---
Accuracy | 21tp	Sample Size (BoolNet)	25
Accuracy | 21tp	Sample Size (BNI3)	25
Accuracy | 21tp	BoolNet Mean ± SD	0.6209 ± 0.0735
Accuracy | 21tp	BoolNet Median	0.6111
Accuracy | 21tp	BNI3 Mean ± SD	0.6707 ± 0.0421
Accuracy | 21tp	BNI3 Median	0.6778
Accuracy | 21tp	Difference (Mean)	0.0498
Accuracy | 21tp	Difference (Median)	0.0667
Accuracy | 21tp	Percent Change	8.0%
Accuracy | 21tp	95% CI Difference	[0.0155, 0.0841]
Accuracy | 21tp	Cohen's d	0.8312
Accuracy | 21tp	Cohen's d Interpretation	large
Accuracy | 21tp	Wilcoxon Statistic	-3.07
Accuracy | 21tp	Wilcoxon p-value	0.0022
Accuracy | 21tp	Wilcoxon Significance	**
Accuracy | 21tp	TOST p-value (small: 0.2σ)	0.9996
Accuracy | 21tp	TOST Equivalent (small)	No
Accuracy | 21tp	TOST Delta (small)	±0.0120
Accuracy | 21tp	TOST p-value (medium: 0.5σ)	1.0000
Accuracy | 21tp	TOST Equivalent (medium)	No
Accuracy | 21tp	TOST Delta (medium)	±0.0299
Accuracy | 21tp	TOST p-value (large: 0.8σ)	1.0000
Accuracy | 21tp	TOST Equivalent (large)	No
Accuracy | 21tp	TOST Delta (large)	±0.0479
Accuracy | 21tp	---	---
Accuracy | 5tp	Sample Size (BoolNet)	25
Accuracy | 5tp	Sample Size (BNI3)	25
Accuracy | 5tp	BoolNet Mean ± SD	0.7764 ± 0.0321
Accuracy | 5tp	BoolNet Median	0.7667
Accuracy | 5tp	BNI3 Mean ± SD	0.6591 ± 0.0391
Accuracy | 5tp	BNI3 Median	0.6444
Accuracy | 5tp	Difference (Mean)	-0.1173
Accuracy | 5tp	Difference (Median)	-0.1222
Accuracy | 5tp	Percent Change	-15.1%
Accuracy | 5tp	95% CI Difference	[-0.1377, -0.0970]
Accuracy | 5tp	Cohen's d	-3.2782
Accuracy | 5tp	Cohen's d Interpretation	large
Accuracy | 5tp	Wilcoxon Statistic	5.93
Accuracy | 5tp	Wilcoxon p-value	0.0000
Accuracy | 5tp	Wilcoxon Significance	***
Accuracy | 5tp	TOST p-value (small: 0.2σ)	1.0000
Accuracy | 5tp	TOST Equivalent (small)	No
Accuracy | 5tp	TOST Delta (small)	±0.0072
Accuracy | 5tp	TOST p-value (medium: 0.5σ)	1.0000
Accuracy | 5tp	TOST Equivalent (medium)	No
Accuracy | 5tp	TOST Delta (medium)	±0.0179
Accuracy | 5tp	TOST p-value (large: 0.8σ)	1.0000
Accuracy | 5tp	TOST Equivalent (large)	No
Accuracy | 5tp	TOST Delta (large)	±0.0286
Accuracy | 5tp	---	---
DynamicAccuracy | 21tp	Sample Size (BoolNet)	25
DynamicAccuracy | 21tp	Sample Size (BNI3)	25
DynamicAccuracy | 21tp	BoolNet Mean ± SD	0.9648 ± 0.0132
DynamicAccuracy | 21tp	BoolNet Median	0.9650
DynamicAccuracy | 21tp	BNI3 Mean ± SD	0.8904 ± 0.0425
DynamicAccuracy | 21tp	BNI3 Median	0.8800
DynamicAccuracy | 21tp	Difference (Mean)	-0.0744
DynamicAccuracy | 21tp	Difference (Median)	-0.0850
DynamicAccuracy | 21tp	Percent Change	-7.7%
DynamicAccuracy | 21tp	95% CI Difference	[-0.0926, -0.0562]
DynamicAccuracy | 21tp	Cohen's d	-2.3633
DynamicAccuracy | 21tp	Cohen's d Interpretation	large
DynamicAccuracy | 21tp	Wilcoxon Statistic	5.47
DynamicAccuracy | 21tp	Wilcoxon p-value	0.0000
DynamicAccuracy | 21tp	Wilcoxon Significance	***
DynamicAccuracy | 21tp	TOST p-value (small: 0.2σ)	1.0000
DynamicAccuracy | 21tp	TOST Equivalent (small)	No
DynamicAccuracy | 21tp	TOST Delta (small)	±0.0063
DynamicAccuracy | 21tp	TOST p-value (medium: 0.5σ)	1.0000
DynamicAccuracy | 21tp	TOST Equivalent (medium)	No
DynamicAccuracy | 21tp	TOST Delta (medium)	±0.0157
DynamicAccuracy | 21tp	TOST p-value (large: 0.8σ)	1.0000
DynamicAccuracy | 21tp	TOST Equivalent (large)	No
DynamicAccuracy | 21tp	TOST Delta (large)	±0.0252
DynamicAccuracy | 21tp	---	---
DynamicAccuracy | 5tp	Sample Size (BoolNet)	25
DynamicAccuracy | 5tp	Sample Size (BNI3)	25
DynamicAccuracy | 5tp	BoolNet Mean ± SD	0.9950 ± 0.0250
DynamicAccuracy | 5tp	BoolNet Median	1.0000
