rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition
1	~G10 & ~G7	4	2	0.0	G10, G7	2	44
2	G9 | (G2 & G4)	4	3	0.0	G2, G4, G9	3	44
3	G9 | (G2 & G4)	4	3	0.0	G2, G4, G9	3	44
4	G9	4	1	0.5	G9	1	44
5	G9	4	1	0.5	G9	1	44
6	G9	4	1	0.5	G9	1	44
7	G9	4	1	0.5	G9	1	44
8	G9 | (G1 & G5)	4	3	0.0	G1, G5, G9	3	44
9	~G10 & ~G7	4	2	0.0	G10, G7	2	44
10	~G10 & ~G7	4	2	0.0	G10, G7	2	44
11	G9	4	1	0.5	G9	1	44
12	G9 | (G2 & G5)	4	3	0.0	G2, G5, G9	3	44
13	G9 | (G1 & G5)	4	3	0.0	G1, G5, G9	3	44
14	G5 | G9	4	2	0.0	G5, G9	2	44
15	G9	4	1	0.5	G9	1	44
16	G9	4	1	0.5	G9	1	44
17	G9 | (G1 & G2) | (G10 & G2)	4	4	0.5	G1, G10, G2, G9	4	44
18	G9	4	1	0.5	G9	1	44
19	G9	4	1	0.5	G9	1	44
20	G9	4	1	0.5	G9	1	44
21	G1 & G9	3	2	0.0	G1, G9	2	44
22	G9 & (G2 | G6)	3	3	0.0	G2, G6, G9	3	44
23	G1 & G9	3	2	0.0	G1, G9	2	44
24	G6 & G9	3	2	0.0	G6, G9	2	44
25	G9 & (G2 | G6)	3	3	0.0	G2, G6, G9	3	44
26	G9 | ~G4	3	2	0.0	G4, G9	2	44
27	G9 | (G2 & G6)	3	3	0.0	G2, G6, G9	3	44
28	G2 | G9	3	2	0.0	G2, G9	2	44
29	G9 | ~G1	3	2	0.0	G1, G9	2	44
30	G2 | G9	3	2	0.0	G2, G9	2	44
31	~G7	3	1	0.5	G7	1	44
32	~G7	3	1	0.5	G7	1	44
33	G9 & (G2 | G4)	2	3	0.0	G2, G4, G9	3	44
34	G2 & G9	2	2	0.0	G2, G9	2	44
35	G5 & G6	2	2	0.0	G5, G6	2	44
36	G1 | G4	2	2	0.0	G1, G4	2	44
37	G2 & G4	2	2	0.0	G2, G4	2	44
38	G9 & (G5 | G8)	2	3	0.0	G5, G8, G9	3	44
39	G2 | G6 | G9	2	3	0.0	G2, G6, G9	3	44
40	G4 | G6 | G9	2	3	0.0	G4, G6, G9	3	44
41	~G1	2	1	0.5	G1	1	44
42	G2 | G6	1	2	0.0	G2, G6	2	44
43	G2 | G6	1	2	0.0	G2, G6	2	44
44	~G7 & ~G9	1	2	0.0	G7, G9	2	44
45	G2 & G7	1	2	0.0	G2, G7	2	44
46	G1 | G2	1	2	0.0	G1, G2	2	44
47	G4	1	1	0.5	G4	1	44
48	G2 | (G3 & G8 & G9)	1	4	0.5	G2, G3, G8, G9	4	44
49	G2	1	1	0.5	G2	1	44
50	G4 | G7	0	2	0.0	G4, G7	2	44
