Gen	Regla	Error	N_reguladores
G1	(G5)	0	1
G2	(!G9)	0	1
G3	(!G9 & G10)	0	2
G4	(!G8 & !G10)	0	2
G5	(!G5)	0	1
G6	0	0	1
G7	(!G9)	0	1
G8	(G9)	0	1
G9	0	0	1
G10	(!G8)	0	1
