Gen	Regla	Error	N_reguladores
G1	(!G3 & !G5 & G7 & !G10) | (G3 & !G5 & !G7 & G10) | (!G1 & G3 & !G7 & G10) | (G1 & G3 & !G5 & !G10)	2	5
G2	(!G4 & !G6 & G9 & !G10) | (!G1 & !G4 & G6 & G9 & G10) | (G4 & G6 & !G9 & !G10) | (G1 & G4 & !G9 & !G10) | (G1 & !G6 & G9 & !G10)	0	5
G3	(G10)	2	1
G4	(!G5 & G8 & !G10) | (G3 & !G5 & !G10) | (G3 & G5 & G8 & G10)	1	4
G5	(!G6 & !G7 & G10) | (G1 & !G7 & G10)	1	4
G6	(G6 & G8) | (G5 & G8)	0	3
G7	(!G8) | (!G3)	0	2
G8	(!G3 & !G8 & G10) | (G3 & G8)	0	3
G9	(!G1 & !G4 & !G6 & G9) | (!G1 & G4 & G6 & !G9 & !G10) | (!G1 & G4 & G6 & G9 & G10) | (G1 & !G6 & !G9 & !G10) | (!G4 & !G6 & G9 & G10) | (G1 & !G4 & G9 & G10) | (G1 & G4 & !G6 & !G10)	0	5
G10	(!G4 & !G6 & G9 & G10) | (!G1 & G4 & G6 & G9 & G10) | (G1 & !G4 & !G6 & !G9 & !G10) | (G1 & !G4 & G9 & G10)	0	5
