Gen	Regla	Error	N_reguladores
G1	(!G9 & G10) | (!G7 & G10) | (!G4 & G7 & !G10)	0	4
G2	(G2 & !G4 & !G6 & !G10) | (G2 & G4 & G10) | (G2 & G4 & G6)	1	4
G3	(!G4 & !G5 & !G6 & !G8) | (!G4 & G5 & !G6 & G8 & G9) | (!G4 & G5 & G6 & G8 & !G9) | (G4 & !G5 & !G6 & G8 & G9) | (G4 & !G5 & G6 & G8 & !G9) | (G4 & G5 & !G8 & !G9) | (G4 & G5 & !G6 & !G8) | (G4 & G5 & !G6 & !G9) | (G4 & G5 & G6 & G8 & G9)	0	5
G4	(!G1 & G6 & G10) | (G1 & !G4 & !G6) | (G1 & !G6 & G10) | (G1 & G4 & G6 & !G10)	1	4
G5	(!G4 & !G5 & G6 & !G7 & !G9) | (!G4 & G5 & !G6 & G9) | (!G4 & G5 & !G6 & G7) | (G4 & !G5 & !G6 & G7) | (G4 & G5 & !G6 & !G7 & !G9) | (G5 & !G6 & G7 & G9) | (G4 & G5 & G6 & !G7 & G9) | (G4 & G5 & G6 & G7 & !G9)	1	5
G6	(G5 & !G7) | (G4 & !G7)	1	3
G7	(!G8)	0	1
G8	(!G2 & !G9) | (!G2 & G10)	0	3
G9	(!G1 & G7 & G9 & G10) | (G1 & !G9 & G10) | (G1 & !G7 & G9) | (G1 & G7 & !G9)	2	4
G10	(G5 & !G6 & G8) | (!G3 & G5 & G6 & !G8) | (G3 & !G5 & !G6 & !G8) | (G3 & G6 & G8)	1	4
