Gen	Regla	Error	N_reguladores
G1	(!G4 & !G7 & !G8 & !G9 & G10) | (!G4 & !G7 & !G8 & G9 & !G10) | (!G4 & !G7 & G8 & !G9 & !G10) | (!G4 & G7 & G8 & G9 & G10) | (G4 & !G7 & !G8 & !G9 & !G10) | (G4 & G7 & G8 & !G9 & !G10)	3	5
G2	(!G9 & !G10) | (!G1 & !G7 & !G9) | (!G1 & !G7 & !G10) | (G1 & !G7 & G9 & G10)	0	4
G3	(!G1 & !G4 & !G7 & G9 & !G10) | (G4 & G7 & !G9 & G10) | (G1 & G4 & !G9 & G10)	1	5
G4	(!G1 & !G4 & G8 & !G10) | (!G1 & G7 & G8 & G10) | (!G1 & G4 & !G7 & !G8 & !G10) | (G1 & !G4 & !G7 & !G8) | (G1 & !G7 & G8 & G10)	1	5
G5	(!G9 & !G10) | (!G4 & !G7 & !G10) | (!G4 & G7 & G9 & G10) | (G4 & !G7 & !G9)	2	4
G6	(G7 & G10) | (G1 & G10)	1	3
G7	(!G1 & G8 & !G9 & G10) | (!G1 & G7 & G8 & !G9) | (G1 & !G7 & !G8 & !G9 & G10) | (G1 & !G7 & G8 & G9 & G10) | (G7 & G8 & !G9 & G10)	1	5
G8	(G10) | (G7)	0	2
G9	(!G1 & !G4 & !G8 & !G9) | (G1 & G4 & G8 & !G9)	0	4
G10	(G7 & G10) | (G1 & G10)	1	3
