Gen	Regla	Error	N_reguladores
G1	(G10)	1	1
G2	(G10)	1	1
G3	1	1	1
G4	0	0	1
G5	1	0	1
G6	(!G10)	1	1
G7	(G10)	1	1
G8	(!G7)	0	1
G9	0	0	1
G10	1	0	1
