Gen	Regla	Error	N_reguladores
G1	(!G1 & !G3 & !G8 & !G9 & !G10) | (!G1 & G3 & !G8 & !G9 & G10) | (!G1 & G3 & G8 & G9 & !G10) | (G1 & !G3 & !G8 & G9 & G10) | (G1 & G8 & !G9 & !G10) | (G1 & !G3 & G8 & !G9) | (G1 & !G3 & G8 & !G10)	0	5
G2	(!G3 & G5) | (G5 & G10)	0	3
G3	(!G3 & G6 & !G8) | (!G3 & !G5 & G6) | (G3 & G5 & !G6 & !G8)	2	4
G4	(!G1 & G9 & !G10) | (G3 & G9) | (G1 & G9 & G10)	0	4
G5	(!G3 & !G9) | (!G1 & !G9 & G10) | (G1 & !G3 & !G10) | (G1 & !G9 & !G10)	0	4
G6	(!G7)	0	1
G7	(G2 & !G8)	1	2
G8	(!G2 & !G3 & !G10) | (!G1 & !G2 & G3 & G10) | (G1 & !G2 & !G3) | (G1 & !G2 & !G10)	1	4
G9	(!G1 & G9 & !G10) | (G3 & G9) | (G1 & G9 & G10)	1	4
G10	(!G2 & G3 & G6) | (G2 & !G3 & G5 & G6) | (G2 & G3 & G5 & !G6)	3	4
