rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition	mlp_loss
1	G20 & G77 & G91	19	3	0.0	G20, G77, G91	3	1	0.08129979803723007
2	G20 & G77 & G91	19	3	0.0	G20, G77, G91	3	1	0.08129979803723007
3	G20 & G77 & G91	19	3	0.0	G20, G77, G91	3	1	0.08129979803723007
4	G20 & G77 & G91	19	3	0.0	G20, G77, G91	3	1	0.08129979803723007
5	G20 & G77 & G91	19	3	0.0	G20, G77, G91	3	1	0.08129979803723007
6	G20 & G77 & G91	19	3	0.0	G20, G77, G91	3	1	0.08129979803723007
7	G20 & G77 & G91	19	3	0.0	G20, G77, G91	3	1	0.08129979803723007
8	G20 & G77 & G91	19	3	0.0	G20, G77, G91	3	1	0.08129979803723007
9	G20 & G77 & G91	19	3	0.0	G20, G77, G91	3	1	0.08129979803723007
10	G20 & G77 & G91	19	3	0.0	G20, G77, G91	3	1	0.08129979803723007
11	G20 & G77 & G91	19	3	0.0	G20, G77, G91	3	1	0.08129979803723007
12	G20 & G77 & G91	19	3	0.0	G20, G77, G91	3	1	0.08129979803723007
13	G20 & G77 & G91	19	3	0.0	G20, G77, G91	3	1	0.08129979803723007
14	G20 & G77 & G91	19	3	0.0	G20, G77, G91	3	1	0.08129979803723007
15	G20 & G77 & G91	19	3	0.0	G20, G77, G91	3	1	0.08129979803723007
16	G20 & G91	19	2	0.0	G20, G91	2	1	0.6145570093927712
17	G20 & G91	19	2	0.0	G20, G91	2	1	0.6145570093927712
18	G20 & G91	19	2	0.0	G20, G91	2	1	0.6145570093927712
19	G20 & G91	19	2	0.0	G20, G91	2	1	0.6145570093927712
20	G20 & G91	19	2	0.0	G20, G91	2	1	0.6145570093927712
21	G19 & G20	18	2	0.0	G19, G20	2	1	1.2980140211330942
22	G77 & G91	17	2	0.0	G77, G91	2	1	1.2848963497474764
23	G77 & G91	17	2	0.0	G77, G91	2	1	1.2848963497474764
24	G77 & G91	17	2	0.0	G77, G91	2	1	1.2848963497474764
25	G77 & G91	17	2	0.0	G77, G91	2	1	1.2848963497474764
26	G77 & G91	17	2	0.0	G77, G91	2	1	1.2848963497474764
27	G77 & G91	17	2	0.0	G77, G91	2	1	1.2848963497474764
28	G20 & G77 & G91 & G95	17	4	0.5	G20, G77, G91, G95	4	1	0.2317311912543949
29	G20 & G65 & G91	16	3	0.0	G20, G65, G91	3	1	0.587922715495152
30	G91	16	1	0.5	G91	1	1	1.2849735708309504
31	G91	16	1	0.5	G91	1	1	1.2849735708309504
32	G91	16	1	0.5	G91	1	1	1.2849735708309504
33	G20 & G77	15	2	0.0	G20, G77	2	1	1.7709079025597512
34	G20 & G77	15	2	0.0	G20, G77	2	1	1.7709079025597512
35	G20 & G77	15	2	0.0	G20, G77	2	1	1.7709079025597512
36	G20 & G77	15	2	0.0	G20, G77	2	1	1.7709079025597512
37	G20 & G77	15	2	0.0	G20, G77	2	1	1.7709079025597512
38	G20 & G77	15	2	0.0	G20, G77	2	1	1.7709079025597512
39	G20 & G77	15	2	0.0	G20, G77	2	1	1.7709079025597512
40	G20 & G77	15	2	0.0	G20, G77	2	1	1.7709079025597512
41	G46	15	1	0.5	G46	1	1	0.9047089840162049
42	G20 & G77 & G95	13	3	0.0	G20, G77, G95	3	1	0.5575304659193716
43	G77	12	1	0.5	G77	1	1	2.0368553481567093
44	G77	12	1	0.5	G77	1	1	2.0368553481567093
45	G20 & G4 & G77 & G91 & G95	12	5	1.0	G20, G4, G77, G91, G95	5	1	0.23097879538530713
46	G91 & ~G77	11	2	0.0	G77, G91	2	1	1.2848963497474764
47	G20 & G88	11	2	0.0	G20, G88	2	1	2.223604823008985
48	G73 & G95	10	2	0.0	G73, G95	2	1	2.2737384495536896
49	G20 & G73 & G77 & G95	10	4	0.5	G20, G73, G77, G95	4	1	0.8491094627373336
50	G21 & G77 & G95	8	3	0.0	G21, G77, G95	3	1	0.9113987247552223
