Gene	Rule
ABA4	~MYB44
ABCG31	ABF4 & PP2C5
ABF3	HB6 | (ABF4 & ZAT6)
ABF4	1
CYP707A3	ABA4 & ~ABF3
DREB2A	ABF3 | ABF4
FBH3	ABF4 | (HB7 & MYB44)
HB5	~ABF3 & ~ABF4
HB6	ABF4 | HB5
HB7	~ABF3 & ~MYB44
MYB44	ABF3 | HB6
PP2C5	FBH3 & HB7
ZAT6	ABF3 | MYB44
