generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty
0	2.30	1.63	0	4	0.420	0.0	0.5
1	2.98	1.41	0	4	0.280	0.0	0.5
2	3.18	1.29	0	4	0.190	0.0	0.5
3	3.40	1.18	0	4	0.080	0.0	0.5
4	3.62	0.80	0	4	0.130	0.0	1.0
5	3.46	1.12	0	4	0.160	0.0	1.0
6	3.42	1.25	0	4	0.150	0.0	0.5
7	3.54	1.06	0	4	0.100	0.0	0.5
8	3.50	1.19	0	4	0.090	0.0	0.5
9	3.84	0.64	0	4	0.130	0.0	0.5
10	3.82	0.65	0	4	0.040	0.0	1.0
11	3.58	0.94	0	4	0.130	0.0	1.0
12	3.72	0.85	0	4	0.080	0.0	0.5
13	3.56	1.00	0	4	0.110	0.0	0.5
14	3.40	1.25	0	4	0.130	0.0	0.5
15	3.22	1.38	0	4	0.110	0.0	0.5
16	3.76	0.71	0	4	0.160	0.0	1.0
17	3.44	1.17	0	4	0.080	0.0	0.5
18	3.42	1.20	0	4	0.130	0.0	0.5
19	3.46	1.15	0	4	0.130	0.0	1.0
20	3.46	1.14	0	4	0.090	0.0	0.5
21	3.38	1.31	0	4	0.120	0.0	1.0
22	3.54	1.02	0	4	0.110	0.0	1.0
23	3.36	1.25	0	4	0.130	0.0	1.0
24	3.68	0.84	0	4	0.120	0.0	1.0
25	3.26	1.34	0	4	0.110	0.0	0.5
26	3.72	0.63	1	4	0.130	0.0	1.0
27	3.50	1.17	0	4	0.150	0.0	0.5
28	3.52	1.04	0	4	0.140	0.0	0.5
29	3.38	1.16	0	4	0.140	0.0	0.5
30	3.56	0.98	0	4	0.140	0.0	0.5
31	3.36	1.23	0	4	0.130	0.0	0.5
32	3.64	0.91	0	4	0.100	0.0	0.5
33	3.64	1.00	0	4	0.100	0.0	0.5
34	3.46	1.14	0	4	0.120	0.0	0.5
35	3.64	0.93	1	4	0.130	0.0	1.0
36	3.60	0.80	1	4	0.160	0.0	1.0
37	3.76	0.81	0	4	0.120	0.0	0.5
38	3.38	1.09	0	4	0.120	0.0	0.5
39	3.22	1.40	0	4	0.150	0.0	0.5
40	3.28	1.22	0	4	0.200	0.0	0.5
41	3.48	1.12	0	4	0.170	0.0	0.5
42	3.56	1.15	0	4	0.150	0.0	0.5
43	3.60	0.80	0	4	0.150	0.0	0.5
44	3.38	1.32	0	4	0.150	0.0	0.5
45	3.46	1.30	0	4	0.160	0.0	1.0
46	3.60	1.02	0	4	0.150	0.0	1.0
47	3.46	1.22	0	4	0.160	0.0	1.0
48	3.70	0.85	0	4	0.150	0.0	1.0
49	3.68	0.86	0	4	0.160	0.0	1.0
50	3.68	0.86	0	4	0.150	0.0	1.0
