rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition	mlp_loss
1	G6 & (G1 | G7)	19	3	0.0	G1, G6, G7	3	9	0.8246911642887146
2	G6 & (G1 | G7)	19	3	0.0	G1, G6, G7	3	9	0.8246911642887146
3	G6 & (G1 | G7)	19	3	0.0	G1, G6, G7	3	9	0.8246911642887146
4	G6 & (G1 | G7)	19	3	0.0	G1, G6, G7	3	9	0.8246911642887146
5	G6 & (G1 | G3 | G7)	19	4	0.5	G1, G3, G6, G7	4	9	0.8492408015491635
6	G6 & (G1 | G3 | G7)	19	4	0.5	G1, G3, G6, G7	4	9	0.8492408015491635
7	G6 & (G1 | G3 | G7)	19	4	0.5	G1, G3, G6, G7	4	9	0.8492408015491635
8	G6 & (G1 | G3 | G7)	19	4	0.5	G1, G3, G6, G7	4	9	0.8492408015491635
9	G6 & (G1 | G3 | G7)	19	4	0.5	G1, G3, G6, G7	4	9	0.8492408015491635
10	G6 & (G1 | G3 | G7)	19	4	0.5	G1, G3, G6, G7	4	9	0.8492408015491635
11	G6 & (G1 | G3 | G7)	19	4	0.5	G1, G3, G6, G7	4	9	0.8492408015491635
12	G6 & (G1 | G3 | G7)	19	4	0.5	G1, G3, G6, G7	4	9	0.8492408015491635
13	G6 & (G1 | G3 | G7)	19	4	0.5	G1, G3, G6, G7	4	9	0.8492408015491635
14	G6	18	1	0.5	G6	1	9	0.9360027716396813
15	G6	18	1	0.5	G6	1	9	1.2130864315646304
16	G6	18	1	0.5	G6	1	9	1.2130864315646304
17	G3 | G6	17	2	0.0	G3, G6	2	9	1.3605315631504418
18	G3 | G6	17	2	0.0	G3, G6	2	9	1.3605315631504418
19	G10 | G6 | (G2 & G9)	17	4	0.5	G10, G2, G6, G9	4	9	0.7239071482809246
20	G7 | (G1 & G6)	16	3	0.0	G1, G6, G7	3	9	0.8246911642887146
21	G6 & (G3 | ~G7)	16	3	0.0	G3, G6, G7	3	9	0.8262455183968866
22	G1 | G3	16	2	0.0	G1, G3	2	9	2.670852112917976
23	G6 & (G3 | G7) & (G5 | G7)	16	4	0.5	G3, G5, G6, G7	4	9	0.7087804117661044
24	G6 & (G3 | G7) & (G5 | G7)	16	4	0.5	G3, G5, G6, G7	4	9	0.7087804117661044
25	G10 | G7	15	2	0.0	G10, G7	2	9	0.7638388941699745
26	G1 & G6	15	2	0.0	G1, G6	2	9	1.2337641264238248
27	G1 & G6	15	2	0.0	G1, G6	2	9	1.2337641264238248
28	G6 & G7	15	2	0.0	G6, G7	2	9	1.2998093178326524
29	G6 & G7	15	2	0.0	G6, G7	2	9	1.2998093178326524
30	G1 | G7	15	2	0.0	G1, G7	2	9	3.0074588947249525
31	G3 & G6	14	2	0.0	G3, G6	2	9	1.3605315631504418
32	G3 & G6	14	2	0.0	G3, G6	2	9	1.3605315631504418
33	G3 & G6	14	2	0.0	G3, G6	2	9	1.3605315631504418
34	G3 & G6	14	2	0.0	G3, G6	2	9	1.3605315631504418
35	G3 & G6	14	2	0.0	G3, G6	2	9	1.3605315631504418
36	G3 & G6	14	2	0.0	G3, G6	2	9	1.3605315631504418
37	G6 & (G1 | G3) & (G1 | G4) & (G3 | G7) & (G4 | G7)	14	5	1.0	G1, G3, G4, G6, G7	5	9	0.028592766152739743
38	G3 & (G1 | G6)	13	3	0.0	G1, G3, G6	3	9	0.9974238069233138
39	G3	13	1	0.5	G3	1	9	0.9974238069233138
40	G1 & G8	13	2	0.0	G1, G8	2	9	3.1023693330635913
41	G1	13	1	0.5	G1	1	9	2.5242521314497255
42	G3	13	1	0.5	G3	1	9	2.6512771379768694
43	G8	13	1	0.5	G8	1	9	2.8932753736883137
44	G3 | G7	12	2	0.0	G3, G7	2	9	2.6771617338266056
45	G7	12	1	0.5	G7	1	9	1.9936496845160385
46	G5 | G6	10	2	0.0	G5, G6	2	9	1.2215787183349174
47	G1 & G3	10	2	0.0	G1, G3	2	9	2.670871392471378
48	G1 & G2	9	2	0.0	G1, G2	2	9	1.6824027142447329
49	G2 | G7	8	2	0.0	G2, G7	2	9	1.7259673222627234
50	G5	4	1	0.5	G5	1	9	1.325548243179682
