generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty
0	2.32	0.97	0	4	0.330	0.0	0.5
1	2.56	1.00	0	4	0.220	0.0	1.0
2	2.84	0.90	0	4	0.240	0.0	0.5
3	3.00	0.96	0	4	0.270	0.0	0.5
4	3.32	0.76	2	4	0.260	0.0	0.5
5	3.30	0.96	1	4	0.220	0.0	0.5
6	3.30	0.94	1	4	0.170	0.0	1.0
7	3.34	0.97	0	4	0.100	0.0	0.5
8	3.42	0.80	2	4	0.150	0.0	0.5
9	3.50	0.81	1	4	0.130	0.0	1.5
10	3.16	1.16	0	4	0.150	0.0	0.5
11	3.12	1.07	0	4	0.160	0.0	0.5
12	3.10	0.90	0	4	0.140	0.0	0.5
13	3.32	0.88	0	4	0.100	0.0	0.5
14	3.20	0.89	0	4	0.080	0.0	0.5
15	3.26	0.69	2	4	0.110	0.0	0.5
16	3.28	1.00	0	4	0.140	0.0	0.5
17	3.24	1.16	0	4	0.090	0.0	0.5
18	3.40	0.98	0	4	0.120	0.0	1.0
19	3.28	1.02	0	4	0.100	0.0	0.5
20	3.30	0.90	1	4	0.100	0.0	0.5
21	3.22	1.04	0	4	0.100	0.0	0.5
22	3.34	0.74	2	4	0.160	0.0	1.0
23	3.42	0.87	0	4	0.080	0.0	0.5
24	3.46	0.70	2	4	0.120	0.0	0.5
25	3.60	0.60	2	4	0.060	0.0	0.5
26	3.22	0.99	0	4	0.120	0.0	1.0
27	3.26	0.93	1	4	0.110	0.0	0.5
28	3.38	0.77	0	4	0.130	0.0	0.5
29	3.24	1.11	0	4	0.160	0.0	0.5
30	3.30	0.92	0	4	0.120	0.0	0.5
31	3.08	1.07	0	4	0.180	0.0	1.0
32	3.24	1.05	0	4	0.100	0.0	0.5
33	3.22	1.19	0	4	0.090	0.0	0.5
34	3.06	0.99	0	4	0.080	0.0	0.5
35	3.02	0.93	0	4	0.120	0.0	1.0
36	3.30	0.78	1	4	0.110	0.0	0.5
37	3.24	0.86	1	4	0.130	0.0	0.5
38	3.38	0.89	1	4	0.140	0.0	1.0
39	3.42	0.87	1	4	0.100	0.0	0.5
40	3.28	0.83	1	4	0.130	0.0	1.0
41	3.46	0.83	0	4	0.130	0.0	0.5
42	3.30	1.04	0	4	0.090	0.0	0.5
43	3.12	1.11	0	4	0.150	0.0	0.5
44	3.20	1.11	0	4	0.180	0.0	1.5
45	3.32	0.76	2	4	0.140	0.0	1.0
46	3.08	1.02	0	4	0.120	0.0	1.0
47	3.32	0.99	0	4	0.090	0.0	1.0
48	3.34	0.79	1	4	0.130	0.0	0.5
49	3.20	1.08	0	4	0.080	0.0	0.5
50	3.08	1.09	0	4	0.140	0.0	0.5
